Effect Name,Keywords,Trigger Type,Duration,Easing,Best For,Mobile Behavior,Performance,Accessibility Notes,Code Pattern
Snap-Stop Freeze,snap stop freeze hold pause annotation card reveal,Scroll progress zone,600ms hold,linear,"Annotation reveals, feature callouts",Shorter hold (400ms) + compact cards,Excellent,"Must be keyboard-navigable; aria-live polite on container","Detect scroll progress in snap zone → scrollTo exact position → lock body overflow → setTimeout release"
Parallax Layer,parallax depth layer background slow drift,Scroll position (continuous),Continuous,linear,"Depth backgrounds, hero sections",Disable on mobile (performance),Good,"Decorative only — no content in parallax layers","transform: translateY(scrollY * rate) on background elements"
Fade-In On Scroll,fade in reveal appear opacity enter viewport,IntersectionObserver,300ms,ease-out,"Text reveals, card entrances, section headers",Same behavior,Excellent,"Respect prefers-reduced-motion — show immediately if enabled","IntersectionObserver with threshold 0.1 → add .visible class → opacity 0→1 + translateY"
Scale-Up Reveal,scale up grow zoom entrance hero element,IntersectionObserver,400ms,ease-out-expo,"Hero elements, featured images, key stats",Same behavior,Good,"Respect prefers-reduced-motion — no scale if enabled","IntersectionObserver → transform: scale(0.9→1) + opacity 0→1"
Count-Up Numbers,count up number counter stat increment animate,IntersectionObserver,1500ms,ease-out-expo,"Stats, specs, metrics, achievements",Same behavior,Excellent,"Show final number immediately if prefers-reduced-motion","requestAnimationFrame loop with easeOutExpo interpolation; stagger 200ms per number"
Sticky Pin,sticky pin fixed frame sequence video canvas scroll,Scroll range (continuous),Continuous,linear,"Video frame sequences, product showcases",Reduced scroll height (250vh),Excellent,"Canvas needs role=img + aria-label; provide text alternative","position: sticky; top: 0; map scrollY to frame index"
Progress Bar,progress bar indicator scroll position top,Scroll position (continuous),Continuous,linear,"Navigation aid, reading progress",Same behavior,Excellent,"Decorative — not critical for understanding content","width: (scrollY / maxScroll) * 100% with accent gradient"
Navbar Morph,navbar morph pill shrink transform glass scroll,Scroll threshold,300ms,ease-in-out,"Nav transformation, brand reveal",Hide links; show logo + pill only,Good,"Ensure nav remains keyboard-accessible after transform","On scroll > threshold → max-width shrink + border-radius + backdrop-filter"
Floating Orbs,orbs floating background ambient glow blur decorative,CSS animation (continuous),8-12s loop,ease-in-out,"Ambient backgrounds, hero sections",Reduce count or disable,Moderate,"Purely decorative — hidden from screen readers via aria-hidden","Absolute-positioned divs with blur + opacity + keyframe drift animation"
Grid Overlay,grid overlay pattern subtle texture background,Static CSS,None,None,"Subtle texture, depth behind content",Same or disable,Excellent,"Purely decorative — aria-hidden=true","Repeating linear-gradient pattern with low opacity (0.02-0.05)"
Twinkling Stars,stars twinkle starscape night sky ambient canvas,Canvas animation (continuous),Random per star,Sinusoidal,"Dark backgrounds, premium/space vibes",Reduce star count (100→60),Good,"Decorative — canvas aria-hidden=true; reduce or stop if prefers-reduced-motion","Fixed canvas with ~180 stars; each has random drift speed + twinkle phase + opacity"
Scroll Hint,scroll hint arrow bounce indicator chevron down,CSS animation,1.5s loop,ease-in-out,"Hero sections, above-fold content",Same behavior,Excellent,"Add aria-hidden=true — decorative indicator only","Bouncing chevron/arrow with translateY keyframes; hide after first scroll"
Card Stagger,stagger cards sequence delay entrance grid,IntersectionObserver + delay,200ms stagger,ease-out,"Feature grids, testimonial rows, card layouts",Same behavior,Good,"Respect prefers-reduced-motion — show all at once if enabled","Each card gets transition-delay: index * 200ms; trigger via IntersectionObserver"
Text Slide-Up,text slide up line reveal heading entrance,IntersectionObserver,400ms per line,ease-out-expo,"Headlines, hero text, section titles",Same behavior,Good,"Respect prefers-reduced-motion — show immediately if enabled","Split text into lines; each line translateY(30px→0) + opacity with stagger"
Glow Pulse,glow pulse accent highlight emphasis attention,CSS animation,2s loop,ease-in-out,"Active states, counting numbers, CTA buttons",Same behavior,Excellent,"Ensure underlying content remains readable during pulse","box-shadow or text-shadow animation with accent color at varying opacity"
