Vibe,Keywords,Scroll Height Desktop,Scroll Height Tablet,Scroll Height Phone,Hold Duration,Card Transition,Easing,Star Count,Star Opacity,Orb Count,Orb Blur,Card BG Opacity,Overall Pace,Navbar Morph Threshold,Progress Bar Height,Loader Style,Notes
Premium Tech,premium tech apple product launch modern clean,400vh,330vh,270vh,700ms,350ms,ease-out-expo,200,0.5,4,80px,0.15,Slow and cinematic,100px,3px,Minimal with accent bar,"Best for tech product launches. Deliberate pacing lets each feature breathe. Use dark background with bright accent."
Luxury,luxury elegant premium gold sophisticated refined,500vh,400vh,300vh,800ms,400ms,ease-in-out,150,0.4,3,100px,0.12,Very slow and deliberate,80px,2px,Elegant with gold accent,"Maximum scroll height for a drawn-out reveal. Fewer stars for clean elegance. Subtle orbs with high blur."
Playful,playful fun colorful bouncy energetic vibrant,250vh,220vh,180vh,400ms,200ms,ease-out-back,250,0.7,5,60px,0.2,Snappy and energetic,120px,4px,Bouncy with color pop,"Fast pace with bouncy easing. More stars and orbs for visual energy. Higher card opacity for readability."
Minimal,minimal clean simple quiet understated calm,300vh,260vh,220vh,500ms,250ms,ease-out,100,0.3,2,90px,0.1,Clean and measured,100px,2px,Simple fade-in,"Fewer decorative elements. Low star count and opacity. Subtle orbs. Clean transitions without overshoot."
Bold,bold striking dramatic impactful strong contrast,300vh,260vh,220vh,600ms,300ms,ease-out-expo,180,0.6,4,70px,0.18,Punchy and dramatic,80px,4px,Bold with thick progress bar,"Strong contrast between sections. Dramatic snap-stop. Accent-colored glow on elements. Thicker progress bar."
Cinematic,cinematic film movie epic immersive widescreen,500vh,420vh,350vh,900ms,450ms,ease-in-out,220,0.55,3,120px,0.12,Ultra-slow and immersive,60px,3px,Dramatic fade with blur,"Maximum immersion. Very long scroll for slow reveal. High star count. Large blurred orbs for atmosphere."
Dark Mode,dark mode night oled black deep shadow,350vh,300vh,250vh,600ms,300ms,ease-out,180,0.65,4,80px,0.08,Balanced and smooth,100px,3px,Dark with glowing progress,"Optimized for dark backgrounds. Higher star opacity. Lower card bg opacity for glass effect. Accent glow emphasis."
Corporate,corporate professional business enterprise trust,350vh,300vh,250vh,550ms,280ms,ease-out,120,0.35,3,90px,0.2,Professional and steady,100px,3px,Clean with brand colors,"Conservative timing. Moderate decoration. Higher card opacity for readability. Professional easing."
Creative,creative artistic unique experimental abstract,300vh,260vh,220vh,500ms,300ms,cubic-bezier(0.34 1.56 0.64 1),200,0.5,5,70px,0.15,Expressive and fluid,100px,3px,Artistic with custom easing,"Custom easing for unique feel. More orbs for visual interest. Mid-range timing for dynamic flow."
Futuristic,futuristic sci-fi cyber neon digital holographic,400vh,330vh,270vh,650ms,320ms,ease-out-expo,250,0.6,4,80px,0.1,Sleek and advanced,80px,3px,Neon glow loading bar,"High star count for space feel. Neon accent colors work best. Low card opacity for transparency effect."
