Section Name,Keywords,Scroll Height,Has Animation,Animation Type,Snap Points,Mobile Height,Required Content,Optional Content,Position,Z-Index,Implementation Notes
Starscape,stars twinkle background ambient canvas night,Fixed (fullscreen),Yes,Canvas twinkling,No,Fixed (fullscreen),"Canvas element","None",Fixed behind everything,1,"Fixed canvas with ~180 stars; opacity 0.6; each star has random drift + twinkle. Reduce to ~60 stars on mobile. Stop animation if prefers-reduced-motion."
Loader,loader loading progress preload frames brand,Fixed (fullscreen),Yes,Progress bar fill,No,Fixed (fullscreen),"Brand logo, loading text, progress bar","Percentage text",Fixed overlay,9999,"Full-screen overlay. Progress bar tracks frame preloading (loaded/total * 100%). Fade out with opacity transition + pointer-events:none when complete. Use accent color for progress bar gradient."
Scroll Progress Bar,progress bar top indicator scroll position,Fixed (3px tall),Yes,Width based on scroll,No,Fixed (3px tall),"Progress bar element","None",Fixed top,1000,"3px tall bar at top of viewport. Width = (scrollY / maxScroll) * 100%. Accent color gradient. Use transform: scaleX() for GPU-accelerated animation."
Navbar,navbar navigation brand logo pill morph links,Fixed (60-70px),Yes,Morph to pill on scroll,No,Fixed (60-70px),"Brand logo, brand name","Navigation links, CTA button",Fixed top,100,"Full-width initially → on scroll (>100px) shrinks to centered pill (max-width ~820px) with rounded corners + glass-morphism. Hide links on mobile; show logo only."
Hero,hero title subtitle cta buttons scroll hint orbs,100vh,Yes,Fade-in + orbs,No,100vh,"Title, subtitle","CTA buttons, scroll hint, background orbs, grid overlay",Relative,10,"Title + subtitle + CTA buttons. Floating background orbs (accent color tones, blurred, 8-12s drift). Subtle grid overlay. Scroll hint (bouncing chevron) at bottom. Hide scroll hint after first scroll."
Scroll Animation,scroll animation video canvas frames sticky sequence,350vh (adjustable),Yes,Frame sequence on canvas,Yes (per annotation card),250vh (phone) / 300vh (tablet),"Video frames, annotation cards","Stats on cards",Relative with sticky canvas,20,"Sticky canvas renders frames based on scroll position. Annotation cards appear/hide at specific progress points (data-show/data-hide). JS snap: detect progress in snap zone → scroll to exact position → lock body 600ms → release. Cards use glass-morphism."
Specs,specs stats numbers count metrics achievements,Auto,Yes,Count-up numbers,No,Auto,"4 stat numbers with labels","Unit suffixes (e.g., mAh, g, mm)",Relative,10,"Four stat cards in a row. Numbers animate from 0 to target with easeOutExpo easing, staggered 200ms apart. Numbers get accent-color glow pulse while counting. Triggered by IntersectionObserver. On mobile: 2x2 grid."
Features,features cards grid glass benefits highlights,Auto,Yes,Fade-in stagger,No,Auto,"3-6 feature cards with title + description","Icons (SVG)",Relative,10,"Glass-morphism cards in responsive grid. Cards stagger-fade-in on scroll (200ms delay each). On mobile: single column stack. Each card has icon + title + description."
CTA,cta call action button final conversion,Auto,Yes,Scale-up reveal,No,Auto,"Heading, CTA button","Subtitle, secondary button",Relative,10,"Call to action section. Large heading + accent-colored button. Optional subtitle. Background can use subtle accent glow."
Footer,footer brand links copyright bottom,Auto,No,None,No,Auto,"Brand name, copyright year","Navigation links, social links",Relative,10,"Brand name + copyright. Optional links row. Keep minimal. Matches overall dark/light theme."
